RuleFit-Bin Results  (467 XGBoost-bin features: 126 ctx + 341 diff)
Accuracy: 0.5843  |  Weighted Acc: 0.6402  |  F1: 0.4357  |  AUC: 0.7578
Non-zero terms: 782  (315 rules, 467 linear terms)

Rank  Type           Coef   Importance   Support  Rule
338   rule        +0.0425       0.0148     0.140  diff_9410_subtitles <= -0.5
339   linear      -0.0218       0.0147     1.000  diff_1936
340   linear      +0.0260       0.0147     1.000  diff_750
341   linear      +0.0183       0.0146     1.000  diff_2025_i/we followed by want/are
342   rule        -0.0394       0.0146     0.165  diff_1170_quizzes and puzzles <= -0.5 and diff_1970_3d, 4chan, 9gag > -0.5
343   linear      +0.0204       0.0145     1.000  diff_490_detailed explanation
344   linear      +0.0316       0.0145     1.000  ctx_892_Likely causing this
345   linear      +0.0319       0.0144     1.000  ctx_672_clearly stating intentions
346   linear      +0.0349       0.0143     1.000  ctx_1475_food and names
347   rule        +0.0453       0.0143     0.111  diff_1279 > 0.5 and diff_1966_unexpected things > -0.5 and diff_2695_compelling and crucial appeal <= 0.5
348   rule        -0.0290       0.0142     0.408  diff_171_negative emotions or events <= -0.5
349   linear      +0.0356       0.0142     1.000  diff_1421
350   rule        -0.0391       0.0141     0.153  diff_890 > 0.5 and diff_1531_discovery and revelation <= 0.5 and diff_11774_negative medical outcomes > -0.5
351   rule        -0.0429       0.0141     0.123  diff_12614_questions and explanations > 0.5
352   rule        +0.0779       0.0141     0.034  diff_2007_numerical time durations <= -0.5 and diff_11566_analogy > -0.5 and diff_12705_never > -0.5
353   linear      -0.0292       0.0141     1.000  diff_6_money, budget, income, financial
354   rule        -0.0383       0.0141     0.160  diff_1966_unexpected things <= -0.5 and diff_2695_compelling and crucial appeal <= 0.5
355   linear      -0.0297       0.0141     1.000  ctx_1747_use of, feel:
356   linear      +0.0179       0.0140     1.000  diff_27_pigs explode
357   linear      +0.0235       0.0140     1.000  diff_4095_organizations and topics
358   rule        -0.0415       0.0139     0.130  diff_2727_internet social media slang <= -0.5
359   rule        +0.0943       0.0137     0.022  diff_45_could you tell me <= -0.5 and diff_1531_discovery and revelation > 0.5 and diff_11774_negative medical outcomes > -0.5
360   linear      -0.0284       0.0137     1.000  ctx_1878_mathematical calculations
361   rule        -0.0273       0.0136     0.454  diff_75_becomes / dissolves / spun / fails > -0.5 and diff_506 > -0.5
362   rule        -0.0674       0.0135     0.042  diff_12705_never > 0.5
363   linear      -0.0231       0.0135     1.000  diff_1279
364   linear      +0.0198       0.0134     1.000  diff_414_quantities and amounts
365   rule        +0.0607       0.0133     0.051  diff_1455 > 0.5 and diff_1497_question mark <= -0.5
366   linear      +0.0369       0.0133     1.000  diff_1809
367   linear      -0.0276       0.0133     1.000  diff_959_attackers and intruders
368   linear      +0.0293       0.0132     1.000  diff_2654_results and output
369   rule        -0.0342       0.0131     0.180  diff_444_values, feelings, judgments <= -0.5 and diff_1531_discovery and revelation <= 0.5
370   rule        -0.0533       0.0131     0.065  diff_436 > -0.5 and diff_641_asking questions and seeking context > -0.5 and diff_951 > -0.5 and diff_1874_will tell or disclose > 0.5 and diff_2007_numerical time durations > -0.5 and diff_11566_analogy > -0.5 and diff_12705_never > -0.5
371   linear      -0.0152       0.0131     1.000  diff_512_lists with explanations
372   linear      +0.0274       0.0131     1.000  ctx_1726_flies feeding
373   linear      +0.0220       0.0131     1.000  diff_581_what records
374   rule        +0.0306       0.0130     0.763  diff_5439_offensive content > -0.5 and diff_10362_man descriptions > -0.5
375   linear      -0.0283       0.0130     1.000  ctx_2161_female names and women
376   rule        -0.0288       0.0129     0.279  diff_2400_hypothetical scenarios <= -0.5
377   linear      +0.0179       0.0127     1.000  diff_728_consciousness
378   linear      +0.0172       0.0126     1.000  diff_724_of- Service
379   rule        +0.0295       0.0125     0.767  diff_12139_questions and technical topics > -0.5
380   linear      +0.0199       0.0124     1.000  diff_890
381   linear      +0.0253       0.0124     1.000  ctx_726_foreign language text
382   linear      -0.0186       0.0124     1.000  diff_563_defines states or conditions
383   linear      +0.0266       0.0124     1.000  ctx_2003
384   linear      -0.0175       0.0124     1.000  diff_1604_adjectives describing content type
385   rule        -0.0510       0.0123     0.063  diff_484_positive sentiment words <= 0.5 and diff_604_harmful unethical behavior > -0.5 and diff_1170_quizzes and puzzles <= 0.5 and diff_1497_question mark <= -0.5 and diff_2633_descriptions of people > -0.5 and diff_7346_grab attention / appeal to senses > -0.5
386   rule        -0.0340       0.0123     0.156  diff_4053_joke, humor, comedy > 0.5
387   rule        +0.0329       0.0123     0.168  diff_234 > 0.5
388   linear      +0.0250       0.0122     1.000  ctx_1137
389   linear      -0.0249       0.0122     1.000  ctx_360_personal emotional struggels
390   linear      -0.0248       0.0122     1.000  ctx_261
391   rule        +0.0305       0.0121     0.198  diff_538_regulation, risk, and governance > -0.5 and diff_2892_instructions or problem context > 0.5
392   linear      -0.0249       0.0121     1.000  diff_46_prioritize conformity
393   rule        +0.0306       0.0121     0.193  diff_234 <= 0.5 and diff_2892_instructions or problem context <= -0.5
394   linear      +0.0237       0.0121     1.000  diff_6768_illegal acts and crimes
395   linear      +0.0275       0.0120     1.000  ctx_2756_state or completion
396   linear      +0.0251       0.0120     1.000  diff_120
397   linear      +0.0289       0.0120     1.000  ctx_6863_boundingVolume and bindingMode.OneWay
398   rule        +0.0300       0.0120     0.199  diff_75_becomes / dissolves / spun / fails <= -0.5 and diff_538_regulation, risk, and governance <= 0.5
399   linear      -0.0191       0.0119     1.000  diff_55_packet capture, community calendars
400   rule        -0.0250       0.0119     0.654  diff_1115_describing people or animals > -0.5 and diff_8878_things or anything > -0.5
401   rule        -0.0239       0.0118     0.573  diff_1115_describing people or animals > -0.5 and diff_1389_past events <= 0.5 and diff_1531_discovery and revelation <= 0.5
402   linear      -0.0159       0.0118     1.000  diff_360_personal emotional struggels
403   linear      +0.0151       0.0118     1.000  diff_223
404   linear      +0.0273       0.0118     1.000  diff_1970_3d, 4chan, 9gag
405   linear      -0.0157       0.0117     1.000  diff_2400_hypothetical scenarios
406   rule        +0.0238       0.0117     0.593  diff_1279 <= 0.5 and diff_1966_unexpected things > -0.5 and diff_2695_compelling and crucial appeal <= 0.5
407   linear      +0.0262       0.0117     1.000  ctx_717
408   linear      +0.0168       0.0117     1.000  diff_75_becomes / dissolves / spun / fails
409   linear      +0.0275       0.0116     1.000  diff_10362_man descriptions
410   rule        -0.0496       0.0115     0.058  diff_250 <= -0.5 and diff_399 > -0.5 and diff_1032_scenes and vehicles <= -0.5
411   rule        -0.0312       0.0115     0.163  diff_1213_intense negative emotions <= 0.5 and diff_14077_difference between two concepts <= -0.5
412   rule        +0.0232       0.0115     0.428  diff_506 > 0.5
413   linear      +0.0187       0.0115     1.000  diff_8878_things or anything
414   rule        +0.0658       0.0114     0.031  diff_903 > 0.5 and diff_1249_incidents / disasters <= 0.5 and diff_8754_effortless efficiency > -0.5 and ctx_923_words starting with L > 0.5
415   linear      -0.0199       0.0114     1.000  diff_518_causative element or basis
416   linear      +0.0145       0.0114     1.000  diff_208_it's good
417   rule        +0.0308       0.0113     0.162  diff_2007_numerical time durations <= 0.5 and diff_2633_descriptions of people <= -0.5
418   linear      +0.0203       0.0113     1.000  diff_10387_amount of climate
419   linear      +0.0231       0.0112     1.000  ctx_696_expressing concerns or frustration
420   rule        -0.0298       0.0112     0.829  diff_1032_scenes and vehicles <= 0.5
421   linear      +0.0227       0.0110     1.000  diff_191_for a duration
422   rule        -0.0280       0.0110     0.191  diff_223 > 0.5 and diff_234 <= 0.5 and diff_2892_instructions or problem context > -0.5
423   rule        +0.0222       0.0110     0.438  diff_171_negative emotions or events > -0.5 and diff_184_asking about <= 0.5
424   linear      -0.0128       0.0110     1.000  diff_86_difficulties and support
425   rule        -0.0293       0.0109     0.167  diff_5439_offensive content <= 0.5 and diff_11052_How to write clickbait titles > 0.5
426   rule        +0.0293       0.0109     0.834  diff_5439_offensive content > -0.5
427   linear      -0.0175       0.0109     1.000  diff_9912_technical contexts and code
428   rule        +0.0251       0.0109     0.251  diff_490_detailed explanation <= -0.5
429   linear      +0.0220       0.0108     1.000  diff_5940_languages processing modes
430   linear      +0.0172       0.0108     1.000  diff_286
431   linear      -0.0141       0.0108     1.000  diff_40
432   linear      +0.0206       0.0108     1.000  diff_1874_will tell or disclose
433   linear      -0.0225       0.0108     1.000  ctx_353
434   linear      -0.0219       0.0108     1.000  diff_41_acknowledges questions and starts answering
435   rule        +0.0303       0.0107     0.147  diff_296 > 0.5 and diff_605_past-tense narration <= 0.5 and diff_9410_subtitles > -0.5
436   rule        -0.0302       0.0107     0.147  diff_286 > 0.5 and diff_3244_release date <= 0.5 and diff_7369_male archetypes and masculinity <= 0.5
437   rule        +0.0613       0.0107     0.031  diff_75_becomes / dissolves / spun / fails <= -0.5 and diff_3669_video content and analysis <= -0.5
438   linear      +0.0172       0.0106     1.000  diff_4153_roles and actions
439   linear      -0.0237       0.0106     1.000  ctx_4807_end of sentence
440   rule        -0.0314       0.0105     0.130  diff_1531_discovery and revelation > 0.5 and diff_7346_grab attention / appeal to senses > -0.5
441   rule        +0.0315       0.0104     0.124  diff_1249_incidents / disasters > 0.5 and diff_2400_hypothetical scenarios > -0.5
442   linear      -0.0197       0.0104     1.000  diff_2133_improvement or recovery
443   linear      -0.0187       0.0104     1.000  diff_4053_joke, humor, comedy
444   linear      -0.0215       0.0104     1.000  ctx_499
445   linear      +0.0214       0.0103     1.000  diff_822
446   linear      +0.0282       0.0103     1.000  ctx_739_countries or places
447   rule        +0.0275       0.0103     0.169  diff_5439_offensive content > 0.5
448   rule        +0.0309       0.0101     0.877  diff_12614_questions and explanations <= 0.5
449   rule        +0.1285       0.0101     0.006  diff_984_contemptuous questions and statements <= -0.5 and diff_9012_time durations and speed > 0.5
450   linear      +0.0221       0.0101     1.000  ctx_1966_unexpected things
451   rule        +0.0321       0.0101     0.111  diff_30_specific word pairs <= 0.5 and diff_2223_past actions or events > -0.5 and diff_11052_How to write clickbait titles > 0.5
452   linear      -0.0153       0.0101     1.000  diff_1631_pronouns followed by verbs
453   linear      -0.0120       0.0100     1.000  diff_243
454   linear      +0.0263       0.0100     1.000  diff_2675_referring to she her
455   linear      +0.0180       0.0100     1.000  diff_110_when followed by a condition
456   rule        +0.0338       0.0100     0.097  diff_436 > -0.5 and diff_604_harmful unethical behavior > 0.5 and diff_641_asking questions and seeking context > -0.5 and diff_951 > -0.5 and diff_1874_will tell or disclose <= 0.5 and diff_2007_numerical time durations > -0.5 and diff_11566_analogy > -0.5 and diff_12705_never > -0.5
457   linear      +0.0214       0.0099     1.000  diff_1177_characters and protagonists
458   linear      +0.0208       0.0099     1.000  ctx_110_when followed by a condition
459   linear      -0.0208       0.0099     1.000  ctx_37_subjective experience and personal attributes
460   linear      +0.0199       0.0099     1.000  diff_26_etc. and other languages
461   rule        +0.0279       0.0098     0.143  diff_30_specific word pairs > 0.5 and diff_490_detailed explanation > -0.5 and ctx_391_i am a / i'm a <= 0.5
462   rule        +0.0245       0.0097     0.803  diff_1115_describing people or animals <= 0.5
463   linear      +0.0217       0.0096     1.000  ctx_87_check for events
464   rule        +0.0270       0.0096     0.150  diff_1234_direct, personal, necessity <= -0.5 and diff_2654_results and output <= 0.5
465   linear      +0.0192       0.0096     1.000  ctx_12139_questions and technical topics
466   rule        +0.0313       0.0095     0.102  diff_538_regulation, risk, and governance > 0.5 and diff_11052_How to write clickbait titles <= 0.5
467   linear      +0.0192       0.0095     1.000  ctx_1213_intense negative emotions
468   rule        -0.0321       0.0094     0.096  ctx_231 <= 0.5 and diff_1176_load balancer <= 0.5 and diff_1966_unexpected things > 0.5
469   rule        +0.0190       0.0094     0.558  diff_543_text descriptions and examples <= 0.5 and diff_1115_describing people or animals <= 0.5 and diff_1279 <= 0.5
470   linear      +0.0188       0.0094     1.000  ctx_11052_How to write clickbait titles
471   linear      +0.0149       0.0093     1.000  diff_150
472   linear      -0.0166       0.0093     1.000  diff_5164_systems, modes, steps, speed
473   linear      +0.0195       0.0093     1.000  diff_8754_effortless efficiency
474   rule        -0.0223       0.0093     0.221  diff_1240 > 0.5
475   linear      -0.0171       0.0090     1.000  diff_379_pronoun followed by a verb
476   linear      +0.0133       0.0090     1.000  diff_951
477   rule        -0.0195       0.0090     0.306  diff_75_becomes / dissolves / spun / fails > -0.5 and diff_506 <= -0.5
478   rule        +0.0188       0.0090     0.348  diff_243 <= -0.5
479   linear      -0.0206       0.0089     1.000  ctx_518_causative element or basis
480   rule        +0.0483       0.0089     0.035  diff_331 <= 0.5 and diff_490_detailed explanation <= 0.5 and diff_5200_recognizing or noticing <= -0.5
481   linear      -0.0150       0.0088     1.000  diff_2497
482   linear      +0.0103       0.0088     1.000  diff_526_names and specific entities
483   linear      +0.0219       0.0088     1.000  ctx_155_It's important/crucial/not
484   linear      -0.0150       0.0087     1.000  diff_214_years in different languages
485   linear      -0.0176       0.0087     1.000  ctx_724_of- Service
486   rule        +0.0317       0.0086     0.081  diff_30_specific word pairs > 0.5 and diff_490_detailed explanation > -0.5 and ctx_391_i am a / i'm a > 0.5 and diff_2727_internet social media slang <= 0.5
487   rule        -0.0172       0.0086     0.473  diff_30_specific word pairs <= 0.5 and diff_2223_past actions or events > -0.5 and diff_11052_How to write clickbait titles <= 0.5
488   linear      +0.0130       0.0086     1.000  diff_4276_full viewport, cluster sampling, quantitative CMR, main loop
489   rule        +0.0243       0.0086     0.147  diff_1065_potential damage and dangers <= -0.5
490   rule        -0.0246       0.0085     0.138  diff_16006_DO NOT > 0.5
491   linear      -0.0184       0.0085     1.000  diff_14289_list items or bullet points
492   rule        -0.0334       0.0085     0.069  diff_331 > 0.5 and diff_490_detailed explanation <= 0.5 and ctx_2003 > 0.5
493   rule        -0.0245       0.0084     0.865  diff_1531_discovery and revelation > -0.5
494   linear      +0.0209       0.0084     1.000  diff_10871_boy or girl
495   rule        +0.0231       0.0083     0.154  diff_984_contemptuous questions and statements <= -0.5 and diff_9012_time durations and speed <= 0.5
496   linear      -0.0180       0.0083     1.000  ctx_44_demonstratives followed by specific nouns
497   linear      -0.0142       0.0082     1.000  diff_8000_introduces it's explanations
498   rule        -0.0265       0.0082     0.109  diff_1321_support and encouragement > 0.5
499   linear      -0.0200       0.0082     1.000  ctx_1751
500   rule        -0.0230       0.0082     0.148  diff_331 > 0.5 and diff_490_detailed explanation <= 0.5 and ctx_2003 <= 0.5
501   linear      -0.0101       0.0081     1.000  diff_926_they
502   rule        -0.0305       0.0081     0.077  diff_641_asking questions and seeking context <= -0.5 and diff_2007_numerical time durations > -0.5 and diff_11566_analogy > -0.5 and diff_12705_never > -0.5
503   linear      +0.0162       0.0081     1.000  ctx_399
504   linear      -0.0200       0.0080     1.000  ctx_10362_man descriptions
505   rule        +0.0215       0.0080     0.168  diff_1725 > 0.5
506   rule        +0.0217       0.0080     0.162  diff_75_becomes / dissolves / spun / fails <= -0.5 and diff_563_defines states or conditions > -0.5 and diff_3669_video content and analysis > -0.5
507   linear      +0.0180       0.0080     1.000  ctx_12070_female identity and womanhood
508   linear      +0.0207       0.0079     1.000  ctx_1548_seems like
509   linear      +0.0164       0.0079     1.000  ctx_73_false
510   rule        +0.0232       0.0079     0.133  diff_951 <= -0.5 and diff_1236 > -0.5 and diff_1531_discovery and revelation <= 0.5 and diff_11052_How to write clickbait titles > -0.5
511   rule        -0.0201       0.0078     0.812  diff_1966_unexpected things > -0.5
512   rule        +0.0246       0.0078     0.885  diff_2315_you probably use > -0.5
513   linear      -0.0162       0.0077     1.000  ctx_439_several ways
514   linear      +0.0128       0.0076     1.000  diff_1249_incidents / disasters
515   rule        -0.0191       0.0076     0.803  diff_5439_offensive content <= 0.5 and diff_9012_time durations and speed <= 0.5
516   linear      -0.0127       0.0076     1.000  diff_439_several ways
517   linear      +0.0206       0.0076     1.000  diff_3676_incredible, astounding, unparalleled descriptions
518   rule        +0.0158       0.0075     0.651  diff_75_becomes / dissolves / spun / fails > -0.5 and diff_538_regulation, risk, and governance <= 0.5
519   linear      -0.0107       0.0075     1.000  diff_2145_list items
520   rule        +0.0192       0.0075     0.188  diff_1966_unexpected things <= -0.5
521   linear      -0.0163       0.0075     1.000  ctx_766
522   rule        +0.0150       0.0074     0.582  diff_296 <= 0.5 and diff_605_past-tense narration <= 0.5 and diff_9410_subtitles > -0.5
523   rule        -0.0188       0.0074     0.810  diff_1966_unexpected things <= 0.5
524   rule        -0.0497       0.0073     0.022  diff_484_positive sentiment words <= 0.5 and diff_604_harmful unethical behavior <= -0.5 and diff_1170_quizzes and puzzles <= 0.5 and diff_1497_question mark <= -0.5 and diff_2633_descriptions of people > -0.5 and diff_7346_grab attention / appeal to senses > -0.5
525   rule        +0.0232       0.0072     0.109  diff_1455 <= 0.5 and diff_1497_question mark <= -0.5
526   rule        -0.0322       0.0072     0.052  diff_1249_incidents / disasters > 0.5 and diff_2400_hypothetical scenarios <= -0.5
527   rule        +0.0265       0.0072     0.079  diff_1212 > 0.5 and diff_2497 <= 0.5 and diff_5439_offensive content > -0.5
528   linear      +0.0119       0.0071     1.000  diff_242
529   linear      -0.0114       0.0070     1.000  diff_302
530   linear      +0.0115       0.0070     1.000  diff_789
531   rule        +0.0150       0.0070     0.324  diff_436 > -0.5 and diff_604_harmful unethical behavior <= 0.5 and diff_641_asking questions and seeking context > -0.5 and diff_951 > -0.5 and diff_1874_will tell or disclose <= 0.5 and diff_2007_numerical time durations > -0.5 and diff_11566_analogy > -0.5 and diff_12705_never > -0.5
532   rule        -0.0142       0.0070     0.448  diff_223 <= 0.5 and diff_234 <= 0.5 and diff_2892_instructions or problem context > -0.5
533   rule        +0.0255       0.0070     0.082  diff_538_regulation, risk, and governance <= 0.5 and diff_1224_YouTube platform <= -0.5 and diff_1497_question mark > -0.5
534   rule        +0.0141       0.0070     0.455  diff_543_text descriptions and examples <= 0.5 and diff_1032_scenes and vehicles > -0.5 and diff_2987 <= 0.5 and diff_12139_questions and technical topics > -0.5
535   rule        +0.0172       0.0070     0.790  diff_11052_How to write clickbait titles <= 0.5
536   linear      +0.0115       0.0069     1.000  diff_353
537   linear      +0.0165       0.0069     1.000  ctx_4366_80
538   rule        -0.0187       0.0069     0.838  diff_2633_descriptions of people <= 0.5
539   rule        -0.0239       0.0069     0.092  diff_1970_3d, 4chan, 9gag <= -0.5
540   linear      -0.0113       0.0069     1.000  diff_2489
541   linear      +0.0141       0.0068     1.000  ctx_1093_questions auxiliary verbs
542   rule        -0.0155       0.0067     0.749  diff_490_detailed explanation > -0.5
543   linear      +0.0145       0.0067     1.000  diff_1183_titles and names of people
544   linear      +0.0115       0.0067     1.000  diff_1234_direct, personal, necessity
545   rule        -0.0218       0.0067     0.104  diff_3092_seeing and noticing > 0.5
546   linear      +0.0161       0.0067     1.000  ctx_641_asking questions and seeking context
547   linear      +0.0154       0.0067     1.000  ctx_14204_easy to use/understand/read
548   rule        +0.0387       0.0066     0.030  diff_686_starts with a > 0.5 and diff_8878_things or anything <= -0.5
549   rule        -0.0179       0.0066     0.836  diff_2193_tragic and horrific events > -0.5
550   rule        +0.0195       0.0066     0.132  diff_3669_video content and analysis <= -0.5
551   rule        -0.0200       0.0066     0.124  diff_399 > -0.5 and diff_11052_How to write clickbait titles > 0.5 and diff_12139_questions and technical topics > -0.5
552   linear      +0.0112       0.0066     1.000  diff_2077_descriptive adjectives followed by clauses
553   rule        -0.0140       0.0065     0.685  diff_444_values, feelings, judgments > -0.5 and diff_1531_discovery and revelation <= 0.5
554   rule        -0.0231       0.0065     0.086  diff_30_specific word pairs > 0.5 and diff_490_detailed explanation <= -0.5
555   rule        -0.0182       0.0065     0.148  diff_2223_past actions or events > 0.5
556   linear      -0.0080       0.0065     1.000  diff_4807_end of sentence
557   linear      +0.0141       0.0065     1.000  ctx_56_change or effect
558   linear      +0.0104       0.0064     1.000  diff_3415_easy to learn
559   linear      +0.0136       0.0064     1.000  ctx_1125_and continuation
560   linear      +0.0100       0.0064     1.000  diff_1878_mathematical calculations
561   linear      -0.0127       0.0063     1.000  ctx_425
562   linear      +0.0087       0.0063     1.000  diff_138_Prefixes followed by specific words
563   rule        -0.0125       0.0063     0.524  ctx_14718_that countsthat hasthat makesthat identifiesthat introduce <= 0.5 and diff_538_regulation, risk, and governance <= 0.5 and diff_1224_YouTube platform > -0.5 and diff_1497_question mark > -0.5
564   linear      +0.0107       0.0062     1.000  diff_5439_offensive content
565   linear      +0.0139       0.0062     1.000  ctx_1899_is the
566   rule        +0.0139       0.0062     0.729  diff_1497_question mark <= 0.5 and diff_3669_video content and analysis > -0.5
567   rule        -0.0123       0.0061     0.490  diff_331 <= 0.5 and diff_490_detailed explanation <= 0.5 and diff_5200_recognizing or noticing > -0.5
568   linear      -0.0148       0.0061     1.000  ctx_631_to be
569   rule        -0.0165       0.0061     0.161  diff_75_becomes / dissolves / spun / fails > -0.5 and diff_416 <= -0.5 and diff_484_positive sentiment words > -0.5 and diff_2009 <= 0.5
570   linear      -0.0140       0.0061     1.000  ctx_904
571   linear      +0.0089       0.0061     1.000  diff_656_list of items
572   linear      -0.0139       0.0061     1.000  ctx_244_confined within the
573   linear      +0.0072       0.0060     1.000  diff_83
574   rule        +0.0177       0.0060     0.130  diff_436 > -0.5 and diff_641_asking questions and seeking context > -0.5 and diff_951 <= -0.5 and diff_2007_numerical time durations > -0.5 and diff_11566_analogy > -0.5 and diff_12705_never > -0.5
575   linear      -0.0119       0.0060     1.000  ctx_794_don't be boring, messy code
576   linear      +0.0142       0.0059     1.000  ctx_1113_book titles and stories
577   linear      +0.0130       0.0059     1.000  diff_3092_seeing and noticing
578   rule        -0.0310       0.0058     0.036  diff_399 > -0.5 and diff_11052_How to write clickbait titles > 0.5 and diff_12139_questions and technical topics <= -0.5
579   linear      -0.0126       0.0058     1.000  ctx_2396_of using
580   linear      +0.0090       0.0058     1.000  diff_92
581   rule        -0.0462       0.0057     0.016  diff_543_text descriptions and examples > 0.5 and diff_1032_scenes and vehicles > -0.5 and diff_2315_you probably use <= -0.5
582   linear      -0.0098       0.0057     1.000  diff_1032_scenes and vehicles
583   linear      -0.0119       0.0057     1.000  ctx_2223_past actions or events
584   rule        +0.0158       0.0056     0.149  diff_4053_joke, humor, comedy > -0.5 and diff_8878_things or anything <= 0.5 and ctx_641_asking questions and seeking context > 0.5
585   linear      +0.0113       0.0056     1.000  diff_89_first, each, last item
586   rule        +0.0113       0.0056     0.471  diff_490_detailed explanation <= 0.5 and diff_903 <= 0.5 and diff_1249_incidents / disasters <= 0.5 and diff_8754_effortless efficiency > -0.5
587   linear      +0.0068       0.0056     1.000  diff_634_individuals or organizations
588   linear      -0.0077       0.0056     1.000  diff_1171
589   rule        +0.0112       0.0055     0.566  diff_1212 <= 0.5 and diff_2497 <= 0.5 and diff_2517_Rukarara River, cerebrex > -0.5 and diff_5439_offensive content > -0.5
590   rule        +0.0162       0.0055     0.135  diff_3669_video content and analysis > 0.5
591   linear      +0.0123       0.0055     1.000  ctx_1160_following prepositions
592   linear      -0.0120       0.0055     1.000  diff_6929_anger and related emotions
593   rule        -0.0296       0.0055     0.035  diff_543_text descriptions and examples > -0.5 and diff_728_consciousness <= -0.5 and diff_892_Likely causing this <= -0.5
594   rule        +0.0149       0.0054     0.157  diff_1115_describing people or animals <= -0.5 and diff_8878_things or anything > -0.5
595   rule        -0.0108       0.0054     0.505  diff_75_becomes / dissolves / spun / fails > -0.5 and diff_286 <= 0.5 and diff_3244_release date <= 0.5
596   rule        +0.0126       0.0054     0.235  diff_526_names and specific entities <= -0.5 and diff_1240 <= 0.5 and diff_1389_past events > -0.5
597   linear      -0.0086       0.0053     1.000  diff_2982_a followed by specific nouns
598   rule        +0.0145       0.0053     0.160  diff_1115_describing people or animals <= -0.5 and diff_1389_past events <= 0.5
599   rule        -0.0141       0.0053     0.828  diff_2497 <= 0.5
600   rule        +0.0390       0.0053     0.019  diff_484_positive sentiment words <= 0.5 and diff_1170_quizzes and puzzles <= 0.5 and diff_2633_descriptions of people > -0.5 and diff_7346_grab attention / appeal to senses <= -0.5
601   linear      -0.0106       0.0053     1.000  ctx_240
602   linear      -0.0181       0.0052     1.000  ctx_11979_sexual and explicit themes
603   rule        -0.0180       0.0052     0.092  diff_819_time units before temporal markers > 0.5
604   linear      +0.0105       0.0052     1.000  ctx_1342_ignoring you
605   linear      +0.0066       0.0052     1.000  diff_10737_phrases like "by step"
606   linear      -0.0097       0.0051     1.000  diff_53_technical terms
607   rule        -0.0152       0.0051     0.131  diff_1280 <= -0.5
608   rule        +0.0102       0.0051     0.538  diff_243 > -0.5 and diff_1310_发热 > -0.5
609   linear      -0.0117       0.0051     1.000  ctx_30_specific word pairs
610   linear      +0.0103       0.0050     1.000  ctx_2009
611   rule        -0.0118       0.0050     0.760  diff_959_attackers and intruders > -0.5 and diff_16006_DO NOT <= 0.5
612   rule        +0.0174       0.0050     0.092  diff_30_specific word pairs <= 0.5 and diff_2223_past actions or events <= -0.5
613   linear      +0.0078       0.0050     1.000  diff_652_words of quantity
614   linear      +0.0103       0.0049     1.000  ctx_1678_locations and descriptions
615   linear      +0.0070       0.0049     1.000  diff_399
616   linear      -0.0061       0.0049     1.000  diff_30_specific word pairs
617   linear      +0.0065       0.0049     1.000  diff_848_initializes, calculates
618   linear      -0.0059       0.0049     1.000  diff_73_false
619   linear      +0.0067       0.0048     1.000  diff_928_you are / you can / i will
620   linear      +0.0096       0.0047     1.000  ctx_184_asking about
621   rule        +0.0161       0.0047     0.096  diff_605_past-tense narration > -0.5 and diff_2315_you probably use > 0.5
622   rule        -0.0143       0.0047     0.127  diff_11566_analogy <= -0.5 and diff_12705_never > -0.5
623   rule        +0.0178       0.0047     0.076  diff_53_technical terms > 0.5 and diff_926_they > -0.5 and diff_4053_joke, humor, comedy <= 0.5
624   linear      +0.0073       0.0045     1.000  diff_3338_number followed by plus
625   linear      +0.0074       0.0045     1.000  diff_1966_unexpected things
626   linear      +0.0097       0.0045     1.000  ctx_264_would be
627   linear      -0.0071       0.0045     1.000  diff_4366_80
628   rule        -0.0142       0.0045     0.114  diff_243 > -0.5 and diff_1310_发热 <= -0.5
629   linear      +0.0074       0.0045     1.000  diff_295_understand you
630   linear      -0.0051       0.0045     1.000  diff_229
631   linear      +0.0069       0.0044     1.000  diff_419
632   rule        +0.0116       0.0043     0.832  diff_1725 <= 0.5
633   rule        -0.0111       0.0043     0.188  diff_484_positive sentiment words > 0.5 and diff_1065_potential damage and dangers > -0.5
634   linear      -0.0090       0.0043     1.000  ctx_1133
635   linear      -0.0058       0.0043     1.000  diff_345
636   linear      +0.0060       0.0043     1.000  diff_450
637   rule        -0.0409       0.0043     0.011  diff_30_specific word pairs > 0.5 and diff_450 <= 0.5 and diff_490_detailed explanation > -0.5 and ctx_391_i am a / i'm a > 0.5 and diff_2727_internet social media slang > 0.5
638   linear      +0.0076       0.0042     1.000  diff_45_could you tell me
639   rule        -0.0099       0.0042     0.761  diff_45_could you tell me <= 0.5 and diff_6843_introduced person or concept > -0.5 and diff_12705_never <= 0.5
640   linear      -0.0098       0.0042     1.000  ctx_1653_how things work
641   rule        +0.0217       0.0041     0.038  diff_484_positive sentiment words <= 0.5 and diff_526_names and specific entities <= 0.5 and diff_750 <= -0.5 and diff_1170_quizzes and puzzles <= 0.5 and diff_1497_question mark > -0.5 and diff_2633_descriptions of people > -0.5 and diff_7346_grab attention / appeal to senses > -0.5
642   rule        -0.0092       0.0041     0.721  diff_2400_hypothetical scenarios > -0.5
643   rule        -0.0090       0.0041     0.714  diff_892_Likely causing this <= 0.5 and diff_2223_past actions or events <= 0.5
